Institution	Category	Area	Value
National University of Singapore	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
National University of Singapore	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
National University of Singapore	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
National University of Singapore	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
National University of Singapore	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
National University of Singapore	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	5
National University of Singapore	Philosophy of the Sciences and Mathematics	Mathematical Logic	
National University of Singapore	Theory of Value	Normative Ethics	
National University of Singapore	Theory of Value	Metaethics & Moral Psychology	
National University of Singapore	Theory of Value	Applied Ethics	
National University of Singapore	Theory of Value	Political Philosophy	
National University of Singapore	Theory of Value	Philosophy of Law	3
National University of Singapore	Theory of Value	Philosophy of Art	
National University of Singapore	History of Philosophy	Acnient Philosophy	
National University of Singapore	History of Philosophy	Medieval Philosophy	
National University of Singapore	History of Philosophy	Early Modern: 17th Century	
National University of Singapore	History of Philosophy	Early Modern: 18th Century	5
National University of Singapore	History of Philosophy	Kant	
National University of Singapore	History of Philosophy	19th Century Continental	
National University of Singapore	History of Philosophy	20th Century Continental	
National University of Singapore	History of Philosophy	History of Analytic	
National University of Singapore	History of Philosophy	American Pragmatism	
National University of Singapore	Other Areas	Feminist Philosophy	
National University of Singapore	Other Areas	Chinese Philosophy	2
National University of Singapore	Other Areas	Philosophy of Race	
New York University	Metaphysics & Epistemology	Philosophy of Language	1
New York University	Metaphysics & Epistemology	Philosophy of Mind	1
New York University	Metaphysics & Epistemology	Metaphysics	1
New York University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	2
New York University	Metaphysics & Epistemology	Philosophical Logic	1
New York University	Metaphysics & Epistemology	Philosophy of Action	
New York University	Metaphysics & Epistemology	Philosophy of Religion	
New York University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	3
New York University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	3
New York University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	4
New York University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	1
New York University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	1
New York University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	4
New York University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	2
New York University	Philosophy of the Sciences and Mathematics	Mathematical Logic	5
New York University	Theory of Value	Normative Ethics	2
New York University	Theory of Value	Metaethics & Moral Psychology	2
New York University	Theory of Value	Applied Ethics	3
New York University	Theory of Value	Political Philosophy	2
New York University	Theory of Value	Philosophy of Law	1
New York University	Theory of Value	Philosophy of Art	1
New York University	History of Philosophy	Acnient Philosophy	2
New York University	History of Philosophy	Medieval Philosophy	
New York University	History of Philosophy	Early Modern: 17th Century	2
New York University	History of Philosophy	Early Modern: 18th Century	2
New York University	History of Philosophy	Kant	3
New York University	History of Philosophy	19th Century Continental	4
New York University	History of Philosophy	20th Century Continental	
New York University	History of Philosophy	History of Analytic	3
New York University	History of Philosophy	American Pragmatism	
New York University	Other Areas	Feminist Philosophy	
New York University	Other Areas	Chinese Philosophy	
New York University	Other Areas	Philosophy of Race	1
Northwestern University	Metaphysics & Epistemology	Philosophy of Language	4
Northwestern University	Metaphysics & Epistemology	Philosophy of Mind	
Northwestern University	Metaphysics & Epistemology	Metaphysics	
Northwestern University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	2
Northwestern University	Metaphysics & Epistemology	Philosophical Logic	
Northwestern University	Metaphysics & Epistemology	Philosophy of Action	
Northwestern University	Metaphysics & Epistemology	Philosophy of Religion	
Northwestern University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Northwestern University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Northwestern University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Northwestern University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Northwestern University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Northwestern University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Northwestern University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Northwestern University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Northwestern University	Theory of Value	Normative Ethics	
Northwestern University	Theory of Value	Metaethics & Moral Psychology	
Northwestern University	Theory of Value	Applied Ethics	
Northwestern University	Theory of Value	Political Philosophy	
Northwestern University	Theory of Value	Philosophy of Law	
Northwestern University	Theory of Value	Philosophy of Art	
Northwestern University	History of Philosophy	Acnient Philosophy	
Northwestern University	History of Philosophy	Medieval Philosophy	
Northwestern University	History of Philosophy	Early Modern: 17th Century	
Northwestern University	History of Philosophy	Early Modern: 18th Century	
Northwestern University	History of Philosophy	Kant	3
Northwestern University	History of Philosophy	19th Century Continental	3
Northwestern University	History of Philosophy	20th Century Continental	3
Northwestern University	History of Philosophy	History of Analytic	
Northwestern University	History of Philosophy	American Pragmatism	
Northwestern University	Other Areas	Feminist Philosophy	
Northwestern University	Other Areas	Chinese Philosophy	
Northwestern University	Other Areas	Philosophy of Race	2
Ohio State University	Metaphysics & Epistemology	Philosophy of Language	4
Ohio State University	Metaphysics & Epistemology	Philosophy of Mind	4
Ohio State University	Metaphysics & Epistemology	Metaphysics	
Ohio State University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	4
Ohio State University	Metaphysics & Epistemology	Philosophical Logic	3
Ohio State University	Metaphysics & Epistemology	Philosophy of Action	
Ohio State University	Metaphysics & Epistemology	Philosophy of Religion	
Ohio State University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	5
Ohio State University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Ohio State University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Ohio State University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Ohio State University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	4
Ohio State University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Ohio State University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	3
Ohio State University	Philosophy of the Sciences and Mathematics	Mathematical Logic	4
Ohio State University	Theory of Value	Normative Ethics	4
Ohio State University	Theory of Value	Metaethics & Moral Psychology	3
Ohio State University	Theory of Value	Applied Ethics	4
Ohio State University	Theory of Value	Political Philosophy	
Ohio State University	Theory of Value	Philosophy of Law	
Ohio State University	Theory of Value	Philosophy of Art	
Ohio State University	History of Philosophy	Acnient Philosophy	
Ohio State University	History of Philosophy	Medieval Philosophy	
Ohio State University	History of Philosophy	Early Modern: 17th Century	5
Ohio State University	History of Philosophy	Early Modern: 18th Century	4
Ohio State University	History of Philosophy	Kant	3
Ohio State University	History of Philosophy	19th Century Continental	
Ohio State University	History of Philosophy	20th Century Continental	
Ohio State University	History of Philosophy	History of Analytic	2
Ohio State University	History of Philosophy	American Pragmatism	
Ohio State University	Other Areas	Feminist Philosophy	
Ohio State University	Other Areas	Chinese Philosophy	
Ohio State University	Other Areas	Philosophy of Race	
Oxford University	Metaphysics & Epistemology	Philosophy of Language	1
Oxford University	Metaphysics & Epistemology	Philosophy of Mind	3
Oxford University	Metaphysics & Epistemology	Metaphysics	1
Oxford University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	1
Oxford University	Metaphysics & Epistemology	Philosophical Logic	1
Oxford University	Metaphysics & Epistemology	Philosophy of Action	
Oxford University	Metaphysics & Epistemology	Philosophy of Religion	4
Oxford University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	4
Oxford University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	2
Oxford University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Oxford University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	2
Oxford University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Oxford University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	2
Oxford University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	3
Oxford University	Philosophy of the Sciences and Mathematics	Mathematical Logic	4
Oxford University	Theory of Value	Normative Ethics	1
Oxford University	Theory of Value	Metaethics & Moral Psychology	2
Oxford University	Theory of Value	Applied Ethics	1
Oxford University	Theory of Value	Political Philosophy	1
Oxford University	Theory of Value	Philosophy of Law	1
Oxford University	Theory of Value	Philosophy of Art	1
Oxford University	History of Philosophy	Acnient Philosophy	1
Oxford University	History of Philosophy	Medieval Philosophy	
Oxford University	History of Philosophy	Early Modern: 17th Century	4
Oxford University	History of Philosophy	Early Modern: 18th Century	3
Oxford University	History of Philosophy	Kant	2
Oxford University	History of Philosophy	19th Century Continental	4
Oxford University	History of Philosophy	20th Century Continental	1
Oxford University	History of Philosophy	History of Analytic	3
Oxford University	History of Philosophy	American Pragmatism	
Oxford University	Other Areas	Feminist Philosophy	2
Oxford University	Other Areas	Chinese Philosophy	
Oxford University	Other Areas	Philosophy of Race	
Princeton University	Metaphysics & Epistemology	Philosophy of Language	2
Princeton University	Metaphysics & Epistemology	Philosophy of Mind	4
Princeton University	Metaphysics & Epistemology	Metaphysics	2
Princeton University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	2
Princeton University	Metaphysics & Epistemology	Philosophical Logic	2
Princeton University	Metaphysics & Epistemology	Philosophy of Action	3
Princeton University	Metaphysics & Epistemology	Philosophy of Religion	3
Princeton University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	5
Princeton University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	4
Princeton University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Princeton University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	2
Princeton University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	4
Princeton University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	2
Princeton University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	2
Princeton University	Philosophy of the Sciences and Mathematics	Mathematical Logic	3
Princeton University	Theory of Value	Normative Ethics	3
Princeton University	Theory of Value	Metaethics & Moral Psychology	1
Princeton University	Theory of Value	Applied Ethics	3
Princeton University	Theory of Value	Political Philosophy	3
Princeton University	Theory of Value	Philosophy of Law	
Princeton University	Theory of Value	Philosophy of Art	
Princeton University	History of Philosophy	Acnient Philosophy	1
Princeton University	History of Philosophy	Medieval Philosophy	
Princeton University	History of Philosophy	Early Modern: 17th Century	3
Princeton University	History of Philosophy	Early Modern: 18th Century	5
Princeton University	History of Philosophy	Kant	1
Princeton University	History of Philosophy	19th Century Continental	
Princeton University	History of Philosophy	20th Century Continental	
Princeton University	History of Philosophy	History of Analytic	4
Princeton University	History of Philosophy	American Pragmatism	
Princeton University	Other Areas	Feminist Philosophy	
Princeton University	Other Areas	Chinese Philosophy	
Princeton University	Other Areas	Philosophy of Race	
Purdue University	Metaphysics & Epistemology	Philosophy of Language	
Purdue University	Metaphysics & Epistemology	Philosophy of Mind	
Purdue University	Metaphysics & Epistemology	Metaphysics	
Purdue University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
Purdue University	Metaphysics & Epistemology	Philosophical Logic	
Purdue University	Metaphysics & Epistemology	Philosophy of Action	
Purdue University	Metaphysics & Epistemology	Philosophy of Religion	2
Purdue University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Purdue University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Purdue University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Purdue University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Purdue University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Purdue University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Purdue University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Purdue University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Purdue University	Theory of Value	Normative Ethics	
Purdue University	Theory of Value	Metaethics & Moral Psychology	
Purdue University	Theory of Value	Applied Ethics	
Purdue University	Theory of Value	Political Philosophy	
Purdue University	Theory of Value	Philosophy of Law	
Purdue University	Theory of Value	Philosophy of Art	
Purdue University	History of Philosophy	Acnient Philosophy	
Purdue University	History of Philosophy	Medieval Philosophy	4
Purdue University	History of Philosophy	Early Modern: 17th Century	5
Purdue University	History of Philosophy	Early Modern: 18th Century	5
Purdue University	History of Philosophy	Kant	
Purdue University	History of Philosophy	19th Century Continental	4
Purdue University	History of Philosophy	20th Century Continental	
Purdue University	History of Philosophy	History of Analytic	
Purdue University	History of Philosophy	American Pragmatism	
Purdue University	Other Areas	Feminist Philosophy	
Purdue University	Other Areas	Chinese Philosophy	
Purdue University	Other Areas	Philosophy of Race	2
Queen's University, Kingston	Metaphysics & Epistemology	Philosophy of Language	
Queen's University, Kingston	Metaphysics & Epistemology	Philosophy of Mind	
Queen's University, Kingston	Metaphysics & Epistemology	Metaphysics	
Queen's University, Kingston	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
Queen's University, Kingston	Metaphysics & Epistemology	Philosophical Logic	
Queen's University, Kingston	Metaphysics & Epistemology	Philosophy of Action	
Queen's University, Kingston	Metaphysics & Epistemology	Philosophy of Religion	
Queen's University, Kingston	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Queen's University, Kingston	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Queen's University, Kingston	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Queen's University, Kingston	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Queen's University, Kingston	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Queen's University, Kingston	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Queen's University, Kingston	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Queen's University, Kingston	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Queen's University, Kingston	Theory of Value	Normative Ethics	4
Queen's University, Kingston	Theory of Value	Metaethics & Moral Psychology	
Queen's University, Kingston	Theory of Value	Applied Ethics	4
Queen's University, Kingston	Theory of Value	Political Philosophy	3
Queen's University, Kingston	Theory of Value	Philosophy of Law	3
Queen's University, Kingston	Theory of Value	Philosophy of Art	
Queen's University, Kingston	History of Philosophy	Acnient Philosophy	
Queen's University, Kingston	History of Philosophy	Medieval Philosophy	
Queen's University, Kingston	History of Philosophy	Early Modern: 17th Century	5
Queen's University, Kingston	History of Philosophy	Early Modern: 18th Century	
Queen's University, Kingston	History of Philosophy	Kant	
Queen's University, Kingston	History of Philosophy	19th Century Continental	
Queen's University, Kingston	History of Philosophy	20th Century Continental	
Queen's University, Kingston	History of Philosophy	History of Analytic	
Queen's University, Kingston	History of Philosophy	American Pragmatism	
Queen's University, Kingston	Other Areas	Feminist Philosophy	2
Queen's University, Kingston	Other Areas	Chinese Philosophy	
Queen's University, Kingston	Other Areas	Philosophy of Race	2
Rice University	Metaphysics & Epistemology	Philosophy of Language	
Rice University	Metaphysics & Epistemology	Philosophy of Mind	3
Rice University	Metaphysics & Epistemology	Metaphysics	
Rice University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
Rice University	Metaphysics & Epistemology	Philosophical Logic	
Rice University	Metaphysics & Epistemology	Philosophy of Action	
Rice University	Metaphysics & Epistemology	Philosophy of Religion	
Rice University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Rice University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Rice University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Rice University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Rice University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Rice University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Rice University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Rice University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Rice University	Theory of Value	Normative Ethics	4
Rice University	Theory of Value	Metaethics & Moral Psychology	
Rice University	Theory of Value	Applied Ethics	
Rice University	Theory of Value	Political Philosophy	4
Rice University	Theory of Value	Philosophy of Law	
Rice University	Theory of Value	Philosophy of Art	
Rice University	History of Philosophy	Acnient Philosophy	
Rice University	History of Philosophy	Medieval Philosophy	
Rice University	History of Philosophy	Early Modern: 17th Century	
Rice University	History of Philosophy	Early Modern: 18th Century	
Rice University	History of Philosophy	Kant	
Rice University	History of Philosophy	19th Century Continental	
Rice University	History of Philosophy	20th Century Continental	3
Rice University	History of Philosophy	History of Analytic	
Rice University	History of Philosophy	American Pragmatism	
Rice University	Other Areas	Feminist Philosophy	
Rice University	Other Areas	Chinese Philosophy	
Rice University	Other Areas	Philosophy of Race	
Rutgers University, New Brunswick	Metaphysics & Epistemology	Philosophy of Language	1
Rutgers University, New Brunswick	Metaphysics & Epistemology	Philosophy of Mind	2
Rutgers University, New Brunswick	Metaphysics & Epistemology	Metaphysics	1
Rutgers University, New Brunswick	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	1
Rutgers University, New Brunswick	Metaphysics & Epistemology	Philosophical Logic	3
Rutgers University, New Brunswick	Metaphysics & Epistemology	Philosophy of Action	
Rutgers University, New Brunswick	Metaphysics & Epistemology	Philosophy of Religion	2
Rutgers University, New Brunswick	Philosophy of the Sciences and Mathematics	General Philosophy of Science	5
Rutgers University, New Brunswick	Philosophy of the Sciences and Mathematics	Philosophy of Physics	5
Rutgers University, New Brunswick	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Rutgers University, New Brunswick	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	2
Rutgers University, New Brunswick	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	1
Rutgers University, New Brunswick	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Rutgers University, New Brunswick	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Rutgers University, New Brunswick	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Rutgers University, New Brunswick	Theory of Value	Normative Ethics	2
Rutgers University, New Brunswick	Theory of Value	Metaethics & Moral Psychology	4
Rutgers University, New Brunswick	Theory of Value	Applied Ethics	2
Rutgers University, New Brunswick	Theory of Value	Political Philosophy	3
Rutgers University, New Brunswick	Theory of Value	Philosophy of Law	2
Rutgers University, New Brunswick	Theory of Value	Philosophy of Art	
Rutgers University, New Brunswick	History of Philosophy	Acnient Philosophy	
Rutgers University, New Brunswick	History of Philosophy	Medieval Philosophy	
Rutgers University, New Brunswick	History of Philosophy	Early Modern: 17th Century	4
Rutgers University, New Brunswick	History of Philosophy	Early Modern: 18th Century	5
Rutgers University, New Brunswick	History of Philosophy	Kant	
Rutgers University, New Brunswick	History of Philosophy	19th Century Continental	
Rutgers University, New Brunswick	History of Philosophy	20th Century Continental	
Rutgers University, New Brunswick	History of Philosophy	History of Analytic	4
Rutgers University, New Brunswick	History of Philosophy	American Pragmatism	
Rutgers University, New Brunswick	Other Areas	Feminist Philosophy	
Rutgers University, New Brunswick	Other Areas	Chinese Philosophy	
Rutgers University, New Brunswick	Other Areas	Philosophy of Race	1
Saint Louis University	Metaphysics & Epistemology	Philosophy of Language	
Saint Louis University	Metaphysics & Epistemology	Philosophy of Mind	
Saint Louis University	Metaphysics & Epistemology	Metaphysics	
Saint Louis University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
Saint Louis University	Metaphysics & Epistemology	Philosophical Logic	
Saint Louis University	Metaphysics & Epistemology	Philosophy of Action	
Saint Louis University	Metaphysics & Epistemology	Philosophy of Religion	2
Saint Louis University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Saint Louis University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Saint Louis University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Saint Louis University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Saint Louis University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Saint Louis University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Saint Louis University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Saint Louis University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Saint Louis University	Theory of Value	Normative Ethics	
Saint Louis University	Theory of Value	Metaethics & Moral Psychology	
Saint Louis University	Theory of Value	Applied Ethics	
Saint Louis University	Theory of Value	Political Philosophy	
Saint Louis University	Theory of Value	Philosophy of Law	
Saint Louis University	Theory of Value	Philosophy of Art	
Saint Louis University	History of Philosophy	Acnient Philosophy	
Saint Louis University	History of Philosophy	Medieval Philosophy	1
Saint Louis University	History of Philosophy	Early Modern: 17th Century	
Saint Louis University	History of Philosophy	Early Modern: 18th Century	
Saint Louis University	History of Philosophy	Kant	
Saint Louis University	History of Philosophy	19th Century Continental	
Saint Louis University	History of Philosophy	20th Century Continental	
Saint Louis University	History of Philosophy	History of Analytic	
Saint Louis University	History of Philosophy	American Pragmatism	
Saint Louis University	Other Areas	Feminist Philosophy	
Saint Louis University	Other Areas	Chinese Philosophy	
Saint Louis University	Other Areas	Philosophy of Race	
Stanford University	Metaphysics & Epistemology	Philosophy of Language	3
Stanford University	Metaphysics & Epistemology	Philosophy of Mind	4
Stanford University	Metaphysics & Epistemology	Metaphysics	
Stanford University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	4
Stanford University	Metaphysics & Epistemology	Philosophical Logic	3
Stanford University	Metaphysics & Epistemology	Philosophy of Action	4
Stanford University	Metaphysics & Epistemology	Philosophy of Religion	
Stanford University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	4
Stanford University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Stanford University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Stanford University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Stanford University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	4
Stanford University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	2
Stanford University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	5
Stanford University	Philosophy of the Sciences and Mathematics	Mathematical Logic	4
Stanford University	Theory of Value	Normative Ethics	4
Stanford University	Theory of Value	Metaethics & Moral Psychology	4
Stanford University	Theory of Value	Applied Ethics	4
Stanford University	Theory of Value	Political Philosophy	2
Stanford University	Theory of Value	Philosophy of Law	
Stanford University	Theory of Value	Philosophy of Art	2
Stanford University	History of Philosophy	Acnient Philosophy	2
Stanford University	History of Philosophy	Medieval Philosophy	
Stanford University	History of Philosophy	Early Modern: 17th Century	
Stanford University	History of Philosophy	Early Modern: 18th Century	5
Stanford University	History of Philosophy	Kant	1
Stanford University	History of Philosophy	19th Century Continental	4
Stanford University	History of Philosophy	20th Century Continental	
Stanford University	History of Philosophy	History of Analytic	2
Stanford University	History of Philosophy	American Pragmatism	
Stanford University	Other Areas	Feminist Philosophy	
Stanford University	Other Areas	Chinese Philosophy	
Stanford University	Other Areas	Philosophy of Race	
Syracuse University	Metaphysics & Epistemology	Philosophy of Language	4
Syracuse University	Metaphysics & Epistemology	Philosophy of Mind	
Syracuse University	Metaphysics & Epistemology	Metaphysics	4
Syracuse University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
Syracuse University	Metaphysics & Epistemology	Philosophical Logic	
Syracuse University	Metaphysics & Epistemology	Philosophy of Action	
Syracuse University	Metaphysics & Epistemology	Philosophy of Religion	
Syracuse University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Syracuse University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Syracuse University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Syracuse University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	2
Syracuse University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Syracuse University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Syracuse University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Syracuse University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Syracuse University	Theory of Value	Normative Ethics	4
Syracuse University	Theory of Value	Metaethics & Moral Psychology	4
Syracuse University	Theory of Value	Applied Ethics	4
Syracuse University	Theory of Value	Political Philosophy	
Syracuse University	Theory of Value	Philosophy of Law	
Syracuse University	Theory of Value	Philosophy of Art	
Syracuse University	History of Philosophy	Acnient Philosophy	
Syracuse University	History of Philosophy	Medieval Philosophy	
Syracuse University	History of Philosophy	Early Modern: 17th Century	
Syracuse University	History of Philosophy	Early Modern: 18th Century	
Syracuse University	History of Philosophy	Kant	
Syracuse University	History of Philosophy	19th Century Continental	
Syracuse University	History of Philosophy	20th Century Continental	4
Syracuse University	History of Philosophy	History of Analytic	
Syracuse University	History of Philosophy	American Pragmatism	
Syracuse University	Other Areas	Feminist Philosophy	
Syracuse University	Other Areas	Chinese Philosophy	
Syracuse University	Other Areas	Philosophy of Race	2
Temple University	Metaphysics & Epistemology	Philosophy of Language	
Temple University	Metaphysics & Epistemology	Philosophy of Mind	
Temple University	Metaphysics & Epistemology	Metaphysics	
Temple University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
Temple University	Metaphysics & Epistemology	Philosophical Logic	
Temple University	Metaphysics & Epistemology	Philosophy of Action	
Temple University	Metaphysics & Epistemology	Philosophy of Religion	
Temple University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Temple University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Temple University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Temple University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Temple University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Temple University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Temple University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Temple University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Temple University	Theory of Value	Normative Ethics	
Temple University	Theory of Value	Metaethics & Moral Psychology	
Temple University	Theory of Value	Applied Ethics	
Temple University	Theory of Value	Political Philosophy	
Temple University	Theory of Value	Philosophy of Law	
Temple University	Theory of Value	Philosophy of Art	
Temple University	History of Philosophy	Acnient Philosophy	
Temple University	History of Philosophy	Medieval Philosophy	
Temple University	History of Philosophy	Early Modern: 17th Century	
Temple University	History of Philosophy	Early Modern: 18th Century	
Temple University	History of Philosophy	Kant	
Temple University	History of Philosophy	19th Century Continental	4
Temple University	History of Philosophy	20th Century Continental	4
Temple University	History of Philosophy	History of Analytic	
Temple University	History of Philosophy	American Pragmatism	
Temple University	Other Areas	Feminist Philosophy	
Temple University	Other Areas	Chinese Philosophy	
Temple University	Other Areas	Philosophy of Race	
Texas A&M University	Metaphysics & Epistemology	Philosophy of Language	
Texas A&M University	Metaphysics & Epistemology	Philosophy of Mind	
Texas A&M University	Metaphysics & Epistemology	Metaphysics	
Texas A&M University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	4
Texas A&M University	Metaphysics & Epistemology	Philosophical Logic	4
Texas A&M University	Metaphysics & Epistemology	Philosophy of Action	
Texas A&M University	Metaphysics & Epistemology	Philosophy of Religion	
Texas A&M University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Texas A&M University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Texas A&M University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Texas A&M University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Texas A&M University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	4
Texas A&M University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	3
Texas A&M University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	5
Texas A&M University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
